Model,RMSE,MAE,MAPE,DirAcc%
LSTM,15.246781349182129,11.192914962768555,0.6040665507316589,46.95652173913044
"ARIMA(1, 0, 0)",15.2217435836792,11.069113731384277,0.5979989171028137,52.79503105590062
MA-30,40.65694808959961,32.57630157470703,1.7814397811889648,52.04968944099379
Persistence,15.142267227172852,11.049928665161133,0.5968824028968811,0.0
