Model,RMSE,MAE,MAPE,DirAcc%
LSTM,15.257640838623047,11.212708473205566,0.6051511764526367,46.2111801242236
Persistence,15.142267227172852,11.049928665161133,0.5968824028968811,0.0
Ridge,17.487516403198242,13.307433128356934,0.7181228995323181,49.93788819875776
MA-30,40.65694808959961,32.57630157470703,1.7814397811889648,52.04968944099379
